Opponent,GF,GA,Outcome
Anaheim_Ducks,6,4,W
Toronto_Maple_Leafs,5,2,W
Dallas_Stars,2,3,L
New_York_Islanders,3,1,W
Philadelphia_Flyers,3,5,L
Detroit_Red_Wings,3,4,L
Nashville_Predators,3,0,W
New_Jersey_Devils,8,3,W
Los_Angeles_Kings,3,0,W
Buffalo_Sabres,5,0,W
Minnesota_Wild,4,1,W
Winnipeg_Jets,4,3,W
Buffalo_Sabres,6,1,W
New_York_Rangers,0,5,L
Toronto_Maple_Leafs,2,1,W
New_York_Rangers,3,2,W
Montreal_Canadiens,4,0,W
New_York_Islanders,4,5,L
New_York_Islanders,1,4,L
Boston_Bruins,3,2,W
Toronto_Maple_Leafs,4,3,W
Carolina_Hurricanes,2,4,L
Carolina_Hurricanes,3,2,W
New_Jersey_Devils,1,0,W
Vancouver_Canucks,0,3,L
Ottawa_Senators,3,2,W
New_York_Rangers,3,4,L
Calgary_Flames,3,1,W
Columbus_Blue_Jackets,3,4,L
Tampa_Bay_Lightning,4,2,W
Colorado_Avalanche,1,0,W
Florida_Panthers,3,1,W
Florida_Panthers,3,4,L
Tampa_Bay_Lightning,3,4,L
Washington_Capitals,0,3,L
New_Jersey_Devils,1,3,L
Carolina_Hurricanes,2,1,W
Tampa_Bay_Lightning,6,3,W
Montreal_Canadiens,1,4,L
Boston_Bruins,2,3,L
