Opponent,GF,GA,Outcome
Anaheim Ducks,6,4,W
Toronto Maple Leafs,5,2,W
Dallas Stars,2,3,L
New York Islanders,3,1,W
Philadelphia Flyers,3,5,L
Detroit Red Wings,3,4,L
Nashville Predators,3,0,W
New Jersey Devils,8,3,W
Los Angeles Kings,3,0,W
Buffalo Sabres,5,0,W
Minnesota Wild,4,1,W
Winnipeg Jets,4,3,W
Buffalo Sabres,6,1,W
New York Rangers,0,5,L
Toronto Maple Leafs,2,1,W
New York Rangers,3,2,W
Montreal Canadiens,4,0,W
New York Islanders,4,5,L
New York Islanders,1,4,L
Boston Bruins,3,2,W
Toronto Maple Leafs,4,3,W
Carolina Hurricanes,2,4,L
Carolina Hurricanes,3,2,W
New Jersey Devils,1,0,W
Vancouver Canucks,0,3,L
Ottawa Senators,3,2,W
New York Rangers,3,4,L
Calgary Flames,3,1,W
Columbus Blue Jackets,3,4,L
Tampa Bay Lightning,4,2,W
Colorado Avalanche,1,0,W
Florida Panthers,3,1,W
Florida Panthers,3,4,L
Tampa Bay Lightning,3,4,L
Washington Capitals,0,3,L
New Jersey Devils,1,3,L
Carolina Hurricanes,2,1,W
Tampa Bay Lightning,6,3,W
Montreal Canadiens,1,4,L
Boston Bruins,2,3,L
Montreal Canadiens,2,1,W
Minnesota Wild,7,2,W
New York Islanders,3,6,L
New York Rangers,2,5,L
Philadelphia Flyers,2,3,L
Chicago Blackhawks,2,3,L
Winnipeg Jets,5,3,W
Washington Capitals,0,4,L
New Jersey Devils,2,1,W
Nashville Predators,0,4,L
Edmonton Oilers,2,0,W
Calgary Flames,4,0,W
Vancouver Canucks,0,5,L
Detroit Red Wings,4,1,W
Ottawa Senators,5,4,W
Chicago Blackhawks,1,2,L
Washington Capitals,1,3,L
Columbus Blue Jackets,1,2,L
St. Louis Blues,4,2,W
Florida Panthers,5,1,W
Washington Capitals,4,3,W
Columbus Blue Jackets,5,3,W
Colorado Avalanche,1,3,L
Anaheim Ducks,5,2,W
Los Angeles Kings,1,0,W
San Jose Sharks,1,2,L
Edmonton Oilers,6,4,W
Boston Bruins,0,2,L
Detroit Red Wings,1,5,L
New Jersey Devils,0,2,L
Dallas Stars,1,2,L
Arizona Coyotes,3,1,W
St. Louis Blues,2,3,L
Carolina Hurricanes,2,5,L
Arizona Coyotes,3,2,W
San Jose Sharks,3,2,W
Philadelphia Flyers,1,4,L
Columbus Blue Jackets,3,5,L
Philadelphia Flyers,1,4,L
Ottawa Senators,3,4,L
